case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
match-50pct,0,candidate,10,79.928613,79.537141,82.60797,6.0846193152382115,120,4376944.0,4376944,4409712.0,4621952,,,4335792.0,4335792,,,2732270.5,90093.0,76692410.5,217331.5,50000.0,50000.0,4194432.0,10000000.0,4996817.0,0.0,4996817.0,120.0,80.196884,12.469312398721128
match-50pct,1,baseline,10,488.852857,485.995683,491.800881,1.0,120,3153426.0,3544088,3376158.0,3974212,,,2762764.0,2762764,,,,,,,,,,,,,,,489.0890985,2.044617234501701
match-50pct,1,candidate,10,79.749789,79.325026,84.089058,6.129832606829844,120,4376944.0,4376944,4515832.0,4621952,,,4335792.0,4335792,,,2695001.5,85469.5,76397249.0,164237.0,50000.0,50000.0,4194432.0,10000000.0,4996817.0,0.0,4996817.0,120.0,79.9933845,12.501033757360272
mixed,0,baseline,10,301.3532185,299.94605,306.61379,1.0,120,11504212.0,11504212,11527032.0,11527032,,,11504212.0,11504212,,,,,,,,,,,,,,,301.61348,3.3155016811582825
mixed,0,candidate,10,39.787721,38.661006,40.61133,7.5740256271526585,120,13117644.0,14119932,13152180.0,14154228,,,927920.0,927920,,,1398103.0,86992.5,37707653.5,146413.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,40.056669,24.964631981755648
mixed,1,baseline,10,301.582252,300.448098,309.94266,1.0,120,11504212.0,11504212,11527032.0,11527032,,,11504212.0,11504212,,,,,,,,,,,,,,,301.863558,3.3127549632870887
mixed,1,candidate,10,38.524656,38.25132,40.69173,7.828291886629695,120,13194266.0,14119932,13228562.0,14154228,,,927920.0,927920,,,913828.0,57477.5,37095355.5,131685.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,38.789651,25.780072112533315
near-input-groups,0,baseline,10,37.080402,35.199627,45.126117,1.0,99157,19922956.0,19922956,19939596.0,19939596,,,19922956.0,19922956,,,,,,,,,,,,,,,37.3324885,26.78632044579616
near-input-groups,0,candidate,10,32.1390485,30.065534,36.291098,1.1537492156931777,99157,29159424.0,29876224,29166592.0,29884416,,,20889600.0,20889600,,,4375210.5,65998.5,3860053.0,1070200.0,100000.0,100000.0,6291456.0,100000.0,100000.0,0.0,100000.0,99157.0,32.5264275,30.744230979562694
near-input-groups,1,baseline,10,35.9157955,35.043746,41.402669,1.0,99157,19922956.0,19922956,19939596.0,19939596,,,19922956.0,19922956,,,,,,,,,,,,,,,36.1615545,27.653678439072635
near-input-groups,1,candidate,10,32.0807845,30.648823,36.444123,1.1195423073273036,99157,29356032.0,29965312,29364224.0,29973504,,,20889600.0,20889600,,,4172822.5,60047.5,3888896.5,990205.5,100000.0,100000.0,6291456.0,100000.0,100000.0,0.0,100000.0,99157.0,32.4535665,30.813254376834053
near-memory-limit,0,baseline,10,2580.33455,2266.523302,2666.990316,1.0,120,54662168.0,54662168,55775008.0,55775008,,,42084364.0,42084364,,,,,,,,,,,,,,,2581.891937,0.387312879237672
